,date,winner,loser,wrank,lrank,b365w,b365l,surface,winner_is_p1,odd_p1,odd_p2
1765,2002-07-15,Chela J.I.,van Lottum J.,28,175,1.286,3.5,Clay,1,1.286,3.5
1766,2002-07-15,Costa A.,Gaudio G.,7,24,2.1,1.667,Clay,0,1.667,2.1
1767,2002-07-15,Chela J.I.,Costa A.,28,7,2.5,1.5,Clay,0,1.5,2.5
1769,2002-07-15,Burgsmuller L.,Phau B.,113,133,1.615,2.2,Clay,1,1.615,2.2
1770,2002-07-15,Canas G.,Sargsian S.,19,83,1.167,4.5,Clay,1,1.167,4.5
1771,2002-07-15,El Aynaoui Y.,Sanchez D.,17,58,1.444,2.625,Clay,1,1.444,2.625
1772,2002-07-15,Kuerten G.,Koubek S.,13,39,1.2,4.0,Clay,1,1.2,4.0
1773,2002-07-15,Lapentti N.,Gaudenzi A.,21,105,1.444,2.625,Clay,1,1.444,2.625
1774,2002-07-15,Mantilla F.,Knippschild J.,50,247,1.25,3.5,Clay,1,1.25,3.5
1775,2002-07-15,Martin A.,Schuettler R.,55,25,1.909,1.8,Clay,0,1.8,1.909
1776,2002-07-15,Meligeni F.,Savolt A.,65,72,1.667,2.1,Clay,1,1.667,2.1
1778,2002-07-15,Pavel A.,Hrbaty D.,20,51,1.727,2.0,Clay,1,1.727,2.0
1780,2002-07-15,Robredo T.,Ulihrach B.,29,63,1.571,2.25,Clay,1,1.571,2.25
1782,2002-07-15,Voinea A.,Dupuis A.,57,100,1.444,2.625,Clay,1,1.444,2.625
1783,2002-07-15,Youzhny M.,Arazi H.,62,47,1.727,2.0,Clay,1,1.727,2.0
1785,2002-07-15,Canas G.,Mantilla F.,19,50,1.5,2.5,Clay,1,1.5,2.5
1789,2002-07-15,Pavel A.,Boutter J.,20,48,1.615,2.2,Clay,1,1.615,2.2
1790,2002-07-15,Robredo T.,Popp A.,29,96,1.222,4.0,Clay,1,1.222,4.0
1792,2002-07-15,Burgsmuller L.,Pavel A.,113,20,3.25,1.333,Clay,0,1.333,3.25
1793,2002-07-15,Canas G.,Martin A.,19,55,1.4,2.75,Clay,1,1.4,2.75
1794,2002-07-15,Novak J.,Robredo T.,15,29,1.8,1.909,Clay,1,1.8,1.909
1795,2002-07-15,Youzhny M.,El Aynaoui Y.,62,17,2.625,1.444,Clay,0,1.444,2.625
1796,2002-07-15,Canas G.,Novak J.,19,15,1.8,1.909,Clay,1,1.8,1.909
1797,2002-07-15,Youzhny M.,Burgsmuller L.,62,113,1.4,2.75,Clay,1,1.4,2.75
1798,2002-07-15,Youzhny M.,Canas G.,62,19,2.75,1.4,Clay,0,1.4,2.75
1799,2002-07-15,Calleri A.,Lopez F.,46,78,1.364,2.875,Clay,1,1.364,2.875
1801,2002-07-15,Ferrer D.,Nalbandian D.,114,14,3.25,1.286,Clay,0,1.286,3.25
1802,2002-07-15,Gross O.,Hipfl M.,149,95,2.2,1.615,Clay,0,1.615,2.2
1803,2002-07-15,Hanescu V.,Rios M.,185,27,3.0,1.333,Clay,0,1.333,3.0
1804,2002-07-15,Horna L.,Montanes A.,79,56,1.909,1.8,Clay,0,1.8,1.909
1806,2002-07-15,Ljubicic I.,Mazarakis V.,33,178,1.25,3.5,Clay,1,1.25,3.5
1807,2002-07-15,Lopez M.,Squillari F.,134,125,2.25,1.571,Clay,0,1.571,2.25
1808,2002-07-15,Marin J.A.,Galvani S.,147,119,1.833,1.833,Clay,0,1.833,1.833
1809,2002-07-15,Massu N.,Vacek J.,74,67,1.5,2.5,Clay,1,1.5,2.5
1810,2002-07-15,Mathieu P.H.,Portas A.,80,71,2.0,1.727,Clay,0,1.727,2.0
1812,2002-07-15,Moya C.,Kucera K.,18,75,1.167,4.5,Clay,1,1.167,4.5
1814,2002-07-15,Vicente F.,Fukarek O.,53,126,1.333,3.0,Clay,1,1.333,3.0
1815,2002-07-15,Coria G.,Massu N.,82,74,1.571,2.25,Clay,1,1.571,2.25
1816,2002-07-15,Ferrer D.,Lopez M.,114,134,1.533,2.375,Clay,1,1.533,2.375
1817,2002-07-15,Hanescu V.,Marin J.A.,185,147,2.1,1.667,Clay,0,1.667,2.1
1818,2002-07-15,Krajan Z.,Horna L.,109,79,2.5,1.5,Clay,0,1.5,2.5
1819,2002-07-15,Ljubicic I.,Radic M.,33,152,1.2,4.333,Clay,1,1.2,4.333
1820,2002-07-15,Melzer J.,Calleri A.,103,46,3.75,1.25,Clay,0,1.25,3.75
1821,2002-07-15,Moya C.,Gross O.,18,149,1.111,6.0,Clay,1,1.111,6.0
1822,2002-07-15,Vicente F.,Mathieu P.H.,53,80,2.2,1.615,Clay,0,1.615,2.2
1823,2002-07-15,Ferrer D.,Coria G.,114,82,2.5,1.5,Clay,0,1.5,2.5
1824,2002-07-15,Krajan Z.,Ljubicic I.,109,33,3.75,1.25,Clay,0,1.25,3.75
1825,2002-07-15,Melzer J.,Hanescu V.,103,185,1.727,2.0,Clay,1,1.727,2.0
1826,2002-07-15,Moya C.,Vicente F.,18,53,1.25,3.5,Clay,1,1.25,3.5
